Date,Person,Licor Unit,Accession,Genus,Species,Photo,Cond,Ci,Ci_Pa,Ci/Ca,Tleaf,Tair,VpdL,RH_S,PARi,PARo
5/22/2018,ZZ,Thelypteris,93795C,Ceratozamia,norstogii,8.851973073,0.107012326,251.3587125,25.58357275,0.629728065,29.95895624,29.2773873,1.554874592,65.9533987,1300,21.89100169
5/22/2018,MO,Botrychium,93944G,Ceratozamia,norstogii,7.246395193,0.078331514,231.1536974,23.52501493,0.587941834,30.20124483,29.88518588,1.415327101,68.27294064,1300,30.14721297
5/21/2018,CC,Martin,97395G2,Ceratozamia,norstogii,8.752253032,0.103845825,248.6573778,25.31818372,0.623597951,29.88086367,28.82591979,1.707029655,63.32752705,1300,9.931846507
5/24/2018,MO,Polystichum,20120331A,Ceratozamia,robusta,5.899748501,0.076100699,260.7315275,26.50185409,0.651364314,28.02020776,28.68980265,1.25255804,64.6301558,1300,75.33213522
5/18/2018,CC,Martin,20120339A,Ceratozamia,robusta,7.77719739,0.090825741,239.2202657,24.28482356,0.597713963,28.89160717,28.52076197,1.726999943,58.0083344,1300,21.68203556
5/18/2018,ZZ,Thelypteris,20120343A,Ceratozamia,robusta,7.004944628,0.07185246,228.7570422,23.22049911,0.571269712,29.3746475,28.6661315,1.294746911,71.43532586,1300,41.73904898
5/18/2018,ZZ,Thelypteris,20120345A,Ceratozamia,robusta,5.471841669,0.055069409,218.5086164,22.18087852,0.545762162,29.18982828,28.59742117,1.300607587,70.45801568,1300,34.45568087
5/22/2018,AS,Polystichum,20010175A,Ceratozamia,sabatoi,9.971473969,0.128904509,266.0990155,27.0831819,0.665276115,28.88640594,28.38559532,0.984500311,77.58114624,1300,2.2400105
5/18/2018,CC,Martin,20010176A,Ceratozamia,sabatoi,7.948360037,0.071613694,208.2298706,21.13416261,0.520322598,28.60786247,28.25119209,2.144813461,46.39591599,1300,0.13572748
5/22/2018,MO,Botrychium,20011171F,Ceratozamia,sabatoi,6.963299215,0.091432034,255.0466069,25.95750113,0.658619407,30.71689034,30.17364502,1.338378415,72.05654907,1300,23.82094002
5/18/2018,CC,Martin,93953A,Ceratozamia,sabatoi,8.657119314,0.122831009,271.8600254,27.59177652,0.679849446,29.13393402,28.66887856,2.041982702,50.97298813,1300,0.101772733
5/22/2018,ZZ,Thelypteris,20020826CC,Ceratozamia,vovidesii,5.433874998,0.061132061,247.5192045,25.20980227,0.619058062,29.78909111,28.65524673,1.423251866,70.66693115,1300,22.41550636
5/22/2018,ZZ,Thelypteris,20020826M,Ceratozamia,vovidesii,6.599235161,0.058464009,209.1041625,21.29660613,0.522583423,29.81756973,28.65089798,1.466388802,69.76535034,1300,11.27801704
5/22/2018,ZZ,Thelypteris,20020826N,Ceratozamia,vovidesii,6.665685977,0.058850187,208.4693563,21.23005406,0.520863746,29.85984039,28.7166996,1.484471592,69.30188751,1300,40.2073822
5/22/2018,ZZ,Thelypteris,20020826Q,Ceratozamia,vovidesii,6.054622216,0.057413943,220.7443345,22.48031086,0.551654479,30.07936287,28.70902061,1.539668024,69.29338074,1300,58.30303955
5/21/2018,CK,Martin,20020826Z,Ceratozamia,vovidesii,7.606511054,0.063996989,202.3498725,20.5852292,0.505479659,29.40150642,28.64100266,0.840750728,83.153862,1300,0.059321765
5/25/2018,CK,Thelypteris,2002082G,Ceratozamia,vovidesii,7.164229987,0.055068948,181.6924688,18.45734156,0.454153974,31.09660721,29.5180378,1.425246754,75.07486725,1300,13.55125141
5/18/2018,CK,Polistichum,20010182A,Ceratozamia,zaragozae,6.458318676,0.047452776,175.0977893,17.76546028,0.437722967,30.05519485,29.01579285,1.075155928,79.46355438,1300,8.847590446
5/18/2018,ZZ,Thelypteris,20010183A,Ceratozamia,zaragozae,5.450413824,0.049088203,214.3916241,21.7554388,0.535836344,29.98442841,28.84172058,1.187547646,77.01450348,1300,1.318428636
5/18/2018,CC,Martin,20031007A,Ceratozamia,zaragozae,9.682225796,0.109762102,243.4664552,24.71385131,0.60898654,29.91834068,28.93166542,2.246892757,49.76698685,1300,0.097653255
5/18/2018,AS,Botrychium,20031009A,Ceratozamia,zaragozae,8.768236434,0.101488662,254.5966662,25.8263758,0.636054339,29.62379456,28.8793869,0.796981514,84.43778229,1300,1.054436922
5/22/2018,AS,Polystichum,20011323A,Ceratozamia,zoquaorum,5.476491618,0.125502055,308.8757648,31.43373074,0.771973483,27.28777075,28.53008127,0.63230924,76.98305448,1300,69.33045985
5/22/2018,AS,Polystichum,20011362A,Ceratozamia,zoquaorum,4.486249302,0.060965629,233.2352536,23.73229107,0.583022628,28.34901857,28.03213167,0.994642983,75.76309522,1300,18.21021127
5/22/2018,AS,Polystichum,20011364A,Ceratozamia,zoquaorum,6.10556869,0.092551843,275.3788633,28.0220794,0.688426852,28.21936464,28.0197587,0.922738342,76.94971402,1300,18.0986211
5/22/2018,AS,Polystichum,2001136A,Ceratozamia,zoquaorum,4.664822456,0.070261123,267.6527969,27.23468685,0.669087983,28.43434858,28.14332056,0.989346812,75.93684324,1300,18.28164028
